병원명,시도,시군구,읍면동
서울대학교치과병원,서울특별시,종로구,대학로
한누리치과병원,서울특별시,중구,충무로1가
더블유치과병원,서울특별시,중구,을지로6가
유치과병원,서울특별시,중구,신당동
라임나무치과병원,서울특별시,중구,명동1가
연세스위트치과병원,서울특별시,중구,황학동
서울특별시장애인치과병원,서울특별시,성동구,마장로
광진예치과병원,서울특별시,광진구,천호대로
에스(S)리더치과병원,서울특별시,광진구,능동로
엘치과병원,서울특별시,동대문구,답십리동
삼육치과병원,서울특별시,동대문구,휘경2동
경희대학교치과병원,서울특별시,동대문구,회기동
시카고치과병원,서울특별시,동대문구,하정로
경희치과병원,서울특별시,강북구,번동
로덴성문치과병원,서울특별시,도봉구,쌍문동
샤인치과교정과 치과병원,서울특별시,노원구,노해로
노원 강북예치과병원,서울특별시,노원구,노해로81길
다인치과병원,서울특별시,노원구,상계동
문치과병원,서울특별시,은평구,대조동
잎사귀치과병원,서울특별시,서대문구,창천동
연세대학교치과대학치과병원,서울특별시,서대문구,신촌동
한그루치과병원,서울특별시,마포구,도화동
신촌다인치과병원,서울특별시,마포구,노고산동
목동예치과병원,서울특별시,양천구,신정동
삼성새로이치과병원,서울특별시,양천구,신정동
목동중앙치과병원,서울특별시,양천구,목동서로
더와이즈치과병원,서울특별시,강서구,화곡동
서울바로나치과병원,서울특별시,강서구,화곡동
로고스치과병원,서울특별시,강서구,등촌동
마루치과병원,서울특별시,구로구,새말로
따뜻한치과병원,서울특별시,동작구,사당동
내이처럼치과병원,서울특별시,동작구,사당동
관악서울대학교치과병원,서울특별시,관악구,관악로
서울탑치과병원,서울특별시,서초구,서초동
필치과병원,서울특별시,서초구,방배로
서울귀한이치과병원,서울특별시,서초구,반포동
가야치과병원,서울특별시,서초구,방배로
유디치과병원,서울특별시,서초구,서초동
미니쉬치과병원,서울특별시,강남구,논현동
라이브치과병원,서울특별시,강남구,논현로105길
수플란트치과병원,서울특별시,강남구,신사동
연치과병원,서울특별시,강남구,대치동
석플란트치과병원,서울특별시,강남구,논현동
아림치과병원,서울특별시,강남구,삼성동
에스플란트치과병원,서울특별시,강남구,청담동
서울치과병원,서울특별시,강남구,신사동
리페이스치과병원,서울특별시,강남구,논현동
서울페이스21치과병원,서울특별시,강남구,강남대로
수치과병원,서울특별시,강남구,선릉로
건강한세상앞선치과병원,서울특별시,강남구,테헤란로87길
더바름치과병원,서울특별시,송파구,석촌호수로
서울오브치과병원,서울특별시,송파구,삼전동
수치과병원,서울특별시,송파구,중대로
케이치과병원,서울특별시,송파구,신천동
연세미래엔미소치과병원,서울특별시,강동구,상일로10길
강동경희대학교치과병원,서울특별시,강동구,상일제1동
아이엠치과병원,서울특별시,강동구,천호동
뉴튼치과병원,부산광역시,동구,초량동
의료법인소맥의료재단 참상쾌한치과병원,부산광역시,동구,중앙대로
굿윌치과병원,부산광역시,부산진구,중앙대로
바른윤곽치과병원,부산광역시,부산진구,서면문화로
시에스치과병원,부산광역시,부산진구,부전동
라인업치과병원,부산광역시,부산진구,부전동
플란치과병원,부산광역시,부산진구,범일로
미주치과병원,부산광역시,동래구,충렬대로
하나인치과병원,부산광역시,동래구,명안로85번길
동래로덴치과병원,부산광역시,동래구,충렬대로237번길
우리들40플란트치과병원,부산광역시,남구,문현동
사과나무치과병원,부산광역시,북구,금곡대로303번길
굿윌치과병원,부산광역시,북구,금곡대로
이앤미치과병원,부산광역시,북구,화명동
더블유에스치과병원,부산광역시,해운대구,중동
세계로치과병원,부산광역시,해운대구,센텀동로
굿윌치과병원,부산광역시,사하구,하단동
오션시티치과병원,부산광역시,강서구,명지오션시티4로
오오치과병원,부산광역시,연제구,중앙대로
유앤아이치과병원,부산광역시,연제구,중앙대로
365드림치과병원,부산광역시,수영구,광안동
성분도치과병원,부산광역시,수영구,수영로
사상연세비앤이치과병원,부산광역시,사상구,감전동
엘리트치과병원,부산광역시,사상구,가야대로
의료법인창성의료재단 일신365치과병원,부산광역시,기장군,정관읍
경북대학교치과병원,대구광역시,중구,삼덕동2가
내이치과병원,대구광역시,중구,대봉로
로이스덕영치과병원,대구광역시,중구,국채보상로
미르치과병원,대구광역시,중구,삼덕2가
오성치과병원,대구광역시,수성구,신매동
윌치과병원,대구광역시,수성구,달구벌대로
시지에프엠치과병원,대구광역시,수성구,신매동
라온치과병원,대구광역시,수성구,동대구로
에프엠치과병원,대구광역시,달서구,죽전동
곽치과병원,대구광역시,달서구,구마로
라온치과병원,대구광역시,달서구,상인동
제로치과병원,대구광역시,달서구,월성동
슈어치과교정과치과병원,인천광역시,중구,하늘중앙로225번길
동아치과병원,인천광역시,미추홀구,주안동
22세기서울치과병원,인천광역시,연수구,컨벤시아대로
서울시카고치과병원,인천광역시,연수구,컨벤시아대로
서울센트리얼치과병원,인천광역시,남동구,서창동
플란치과병원,인천광역시,부평구,주부토로
구올담치과병원,인천광역시,부평구,부평동
라이브치과병원,인천광역시,부평구,부평대로
더케이365치과병원,인천광역시,계양구,계산동
조은내일치과병원,인천광역시,서구,심곡동
예온치과병원,인천광역시,서구,이음4로
명인치과병원,광주광역시,서구,금화로
스마트원치과병원,광주광역시,서구,운천로
미르치과병원,광주광역시,서구,치평동
상무스타치과병원,광주광역시,서구,치평동
예인원치과병원,광주광역시,서구,상무공원로
전남대학교치과병원,광주광역시,북구,용봉동
서울프라임365치과병원,광주광역시,북구,동문대로
수완더치과병원,광주광역시,광산구,신가동
에스엠치과병원,광주광역시,광산구,임방울대로
첨단미르치과병원,광주광역시,광산구,쌍암동
원광대학교 대전치과병원,대전광역시,서구,둔산동
의료법인 성전의료재단 온스타치과병원,대전광역시,유성구,장대동
국군대전치과병원,대전광역시,유성구,자운동
에이스마일치과병원,대전광역시,유성구,반석동
이엘치과병원,대전광역시,대덕구,신탄진동
한빛치과병원,울산광역시,남구,옥동
로이스씨케이치과병원,울산광역시,남구,달동
씨케이치과병원,울산광역시,동구,일산동
큰치과병원,울산광역시,북구,신천동
모아치과병원,경기도,수원시,팔달구
라운드치과병원,경기도,수원시,팔달구
광교365리움치과병원,경기도,수원시,영통구
스마일분당예치과병원,경기도,성남시,분당구
새로분당예치과병원,경기도,성남시,분당구
드림분당예치과병원,경기도,성남시,분당구
위례서울치과병원,경기도,성남시,수정구
성남예치과병원,경기도,성남시,중원구
밸런스치과병원,경기도,성남시,분당구
형치과병원,경기도,성남시,분당구
국군수도치과병원,경기도,성남시,분당구
드라마치과병원,경기도,성남시,분당구
탑연세치과병원,경기도,의정부시,청사로48번길
닥터뷰티치과병원,경기도,의정부시,회룡로
서울오라클치과병원,경기도,의정부시,의정부동
평촌예치과병원,경기도,안양시,동안구
메르덴치과병원,경기도,부천시,원미구
사과나무치과병원,경기도,부천시,원미구
이안치과병원,경기도,부천시,오정구
평강치과병원,경기도,부천시,소사구
365래온치과병원,경기도,평택시,고덕동
한국치과병원,경기도,안산시,단원구
안산예치과병원,경기도,안산시,단원구
궁치과병원,경기도,안산시,단원구
탑치과병원,경기도,안산시,단원구
중산사과나무치과병원,경기도,고양시,일산동구
연세플라워치과병원,경기도,고양시,일산동구
린치과병원,경기도,고양시,덕양구
서울메이치과병원,경기도,고양시,덕양구
리빙웰치과병원,경기도,고양시,일산서구
사과나무치과병원,경기도,고양시,일산서구
비욘드 치과병원,경기도,과천시,별양상가1로
유림치과병원,경기도,오산시,대원로
예치과병원,경기도,시흥시,마유로
윈치과병원,경기도,군포시,산본동
원광대학교치과대학산본치과병원,경기도,군포시,산본로
부곡치과병원,경기도,의왕시,철도박물관로
단국대학교 치과대학 죽전치과병원,경기도,용인시,수지구
컬럼비아치과병원,경기도,용인시,기흥구
연세온아치과병원,경기도,용인시,기흥구
마음심는치과병원,경기도,용인시,처인구
서울선(SUN)치과병원,경기도,파주시,와동동
더연세퍼스트치과병원,경기도,파주시,와동동
뷰티앤디지털치과병원,경기도,파주시,경의로1240번길
연세스카이치과병원,경기도,이천시,중리천로
미소플란트치과병원,경기도,안성시,공도읍
서울매일치과병원,강원특별자치도,원주시,만대공원길
그랜드치과병원,강원특별자치도,원주시,서원대로
위덴치과병원,강원특별자치도,속초시,동해대로
서울더블유치과병원,충청북도,충주시,봉계1길
고려치과병원,충청남도,천안시,동남구
가온치과병원,충청남도,천안시,서북구
열린치과병원,충청남도,천안시,서북구
문치과병원,충청남도,천안시,동남구
연세우일치과병원,충청남도,천안시,서북구
참조은치과병원,충청남도,천안시,서북구
더보스톤치과병원,충청남도,천안시,서북구
단국대학교치과대학치과병원,충청남도,천안시,동남구
의료법인 산울의료재단 스파인치과병원,충청남도,아산시,배방읍
온아치과병원,충청남도,아산시,배방읍
365아홉가지약속치과병원,충청남도,아산시,탕정면
경희치과병원,충청남도,태안군,태안읍
전북대학교치과병원,전북특별자치도,전주시,덕진구
미르치과병원,전북특별자치도,전주시,완산구
원광대학교 치과병원,전북특별자치도,익산시,무왕로
미르치과병원,전라남도,목포시,상동
예닮치과병원,전라남도,목포시,상동
그랜드치과병원,전라남도,여수시,시청로
의료법인 모아의료재단 모아치과병원,전라남도,여수시,소호로
목포스마트원치과병원,전라남도,무안군,삼향읍
신우치과병원,전라남도,무안군,삼향읍
국군함평치과병원,전라남도,함평군,해보면
그랜드치과병원,경상북도,경주시,성동동
