시도,시군구,읍면동,총인구수,노인인구수,치과수,치과1개당_노인인구수
서울특별시,,,9299701,1909993,0,1909993.0
서울특별시,종로구,,136798,30841,0,30841.0
서울특별시,종로구,청운효자동,10835,2288,0,2288.0
서울특별시,종로구,사직동,8908,1981,0,1981.0
서울특별시,종로구,삼청동,2114,613,0,613.0
서울특별시,종로구,부암동,8926,2052,0,2052.0
서울특별시,종로구,평창동,17010,4049,0,4049.0
서울특별시,종로구,무악동,7658,1611,0,1611.0
서울특별시,종로구,교남동,9430,1798,0,1798.0
서울특별시,종로구,가회동,3616,907,0,907.0
서울특별시,종로구,종로1.2.3.4가동,6637,1869,0,1869.0
서울특별시,종로구,종로5.6가동,5431,1133,0,1133.0
서울특별시,종로구,이화동,7042,1493,0,1493.0
서울특별시,종로구,혜화동,15572,2840,0,2840.0
서울특별시,종로구,창신제1동,4414,1367,0,1367.0
서울특별시,종로구,창신제2동,7158,2044,0,2044.0
서울특별시,종로구,창신제3동,6111,1492,0,1492.0
서울특별시,종로구,숭인제1동,5698,1398,0,1398.0
서울특별시,종로구,숭인제2동,10238,1906,0,1906.0
서울특별시,중구,,117718,27266,0,27266.0
서울특별시,중구,소공동,2181,293,3,73.25
서울특별시,중구,회현동,4072,1326,0,1326.0
서울특별시,중구,명동,2455,742,0,742.0
서울특별시,중구,필동,4307,971,0,971.0
서울특별시,중구,장충동,4525,958,0,958.0
서울특별시,중구,광희동,5723,1248,0,1248.0
서울특별시,중구,을지로동,3029,511,0,511.0
서울특별시,중구,신당동,7399,1730,32,52.42424242424242
서울특별시,중구,다산동,12984,3211,0,3211.0
서울특별시,중구,약수동,15729,4391,0,4391.0
서울특별시,중구,청구동,10700,2704,0,2704.0
서울특별시,중구,신당제5동,9930,2132,0,2132.0
서울특별시,중구,동화동,9723,2362,0,2362.0
서울특별시,중구,황학동,13121,2370,10,215.45454545454547
서울특별시,중구,중림동,11840,2317,4,463.4
서울특별시,용산구,,201746,40009,0,40009.0
서울특별시,용산구,후암동,15652,3317,4,663.4
서울특별시,용산구,용산2가동,8483,2140,0,2140.0
서울특별시,용산구,남영동,6997,1683,2,561.0
서울특별시,용산구,청파동,18597,3606,0,3606.0
서울특별시,용산구,원효로제1동,17065,2251,0,2251.0
서울특별시,용산구,원효로제2동,13396,2607,0,2607.0
서울특별시,용산구,효창동,10406,1731,2,577.0
서울특별시,용산구,용문동,11045,2436,3,609.0
서울특별시,용산구,한강로동,20864,3490,0,3490.0
서울특별시,용산구,이촌제1동,24872,4721,0,4721.0
서울특별시,용산구,이촌제2동,7735,1922,0,1922.0
서울특별시,용산구,이태원제1동,5865,1459,0,1459.0
서울특별시,용산구,이태원제2동,8365,1822,0,1822.0
서울특별시,용산구,한남동,13716,2737,6,391.0
서울특별시,용산구,서빙고동,12119,2388,0,2388.0
서울특별시,용산구,보광동,6569,1699,2,566.3333333333334
서울특별시,성동구,,274695,53513,0,53513.0
서울특별시,성동구,왕십리제2동,15713,2968,0,2968.0
서울특별시,성동구,왕십리도선동,25538,4509,0,4509.0
서울특별시,성동구,마장동,21407,4514,0,4514.0
서울특별시,성동구,사근동,11880,1653,0,1653.0
서울특별시,성동구,행당제1동,15550,2679,0,2679.0
서울특별시,성동구,행당제2동,22329,4462,0,4462.0
서울특별시,성동구,응봉동,14409,2687,0,2687.0
서울특별시,성동구,금호1가동,14281,3085,0,3085.0
서울특별시,성동구,금호2.3가동,20527,4231,0,4231.0
서울특별시,성동구,금호4가동,13855,2876,1,1438.0
서울특별시,성동구,옥수동,25146,4821,6,688.7142857142857
서울특별시,성동구,성수1가제1동,14886,2751,0,2751.0
서울특별시,성동구,성수1가제2동,13912,2502,0,2502.0
서울특별시,성동구,성수2가제1동,13664,3268,0,3268.0
서울특별시,성동구,성수2가제3동,9466,2015,0,2015.0
서울특별시,성동구,송정동,9097,2032,1,1016.0
서울특별시,성동구,용답동,13035,2460,1,1230.0
서울특별시,광진구,,330933,62627,0,62627.0
서울특별시,광진구,화양동,22724,2516,6,359.42857142857144
서울특별시,광진구,군자동,18417,3557,1,1778.5
서울특별시,광진구,중곡제1동,14856,2998,0,2998.0
서울특별시,광진구,중곡제2동,19753,4079,0,4079.0
서울특별시,광진구,중곡제3동,15155,3508,0,3508.0
서울특별시,광진구,중곡제4동,26776,6493,0,6493.0
서울특별시,광진구,능동,10788,1894,2,631.3333333333334
서울특별시,광진구,광장동,32947,4578,2,1526.0
서울특별시,광진구,자양제1동,21493,4190,0,4190.0
서울특별시,광진구,자양제2동,26398,4945,0,4945.0
서울특별시,광진구,자양제3동,26640,5191,0,5191.0
서울특별시,광진구,자양제4동,19842,4466,0,4466.0
서울특별시,광진구,구의제1동,22821,3877,0,3877.0
서울특별시,광진구,구의제2동,24806,5282,0,5282.0
서울특별시,광진구,구의제3동,27517,5053,0,5053.0
서울특별시,동대문구,,348620,72976,0,72976.0
서울특별시,동대문구,신설동,16353,2613,2,871.0
서울특별시,동대문구,용두동,22602,4697,8,521.8888888888889
서울특별시,동대문구,제기동,22202,5849,6,835.5714285714286
서울특별시,동대문구,전농제1동,32172,6672,0,6672.0
서울특별시,동대문구,전농제2동,17311,4254,0,4254.0
서울특별시,동대문구,답십리제1동,27203,4772,0,4772.0
서울특별시,동대문구,답십리제2동,27294,6561,0,6561.0
서울특별시,동대문구,장안제1동,37031,8010,0,8010.0
서울특별시,동대문구,장안제2동,32776,6391,0,6391.0
서울특별시,동대문구,청량리동,17925,6090,5,1015.0
서울특별시,동대문구,회기동,10080,1601,3,400.25
서울특별시,동대문구,휘경제1동,16653,2588,0,2588.0
서울특별시,동대문구,휘경제2동,23505,4630,0,4630.0
서울특별시,동대문구,이문제1동,27553,3919,0,3919.0
서울특별시,동대문구,이문제2동,17960,4329,0,4329.0
서울특별시,중랑구,,376920,88438,0,88438.0
서울특별시,중랑구,면목제2동,22988,5680,0,5680.0
서울특별시,중랑구,면목제4동,17493,4434,0,4434.0
서울특별시,중랑구,면목제5동,14020,2836,0,2836.0
서울특별시,중랑구,면목본동,31644,7383,0,7383.0
서울특별시,중랑구,면목제7동,20524,5250,0,5250.0
서울특별시,중랑구,면목제3.8동,23442,6088,0,6088.0
서울특별시,중랑구,상봉제1동,22822,4899,0,4899.0
서울특별시,중랑구,상봉제2동,21352,3658,0,3658.0
서울특별시,중랑구,중화제1동,17830,4439,0,4439.0
서울특별시,중랑구,중화제2동,25568,6258,0,6258.0
서울특별시,중랑구,묵제1동,32920,7141,0,7141.0
서울특별시,중랑구,묵제2동,17601,4343,0,4343.0
서울특별시,중랑구,망우본동,37977,8339,0,8339.0
서울특별시,중랑구,망우제3동,15156,4141,0,4141.0
서울특별시,중랑구,신내1동,36604,8581,0,8581.0
서울특별시,중랑구,신내2동,18979,4968,0,4968.0
서울특별시,성북구,,422146,87657,0,87657.0
서울특별시,성북구,성북동,15458,3329,1,1664.5
서울특별시,성북구,삼선동,21669,4489,0,4489.0
서울특별시,성북구,동선동,14721,2328,0,2328.0
서울특별시,성북구,돈암제1동,13728,3390,0,3390.0
서울특별시,성북구,돈암제2동,22900,4212,0,4212.0
서울특별시,성북구,안암동,15398,2318,0,2318.0
서울특별시,성북구,보문동,15764,2927,0,2927.0
서울특별시,성북구,정릉제1동,17518,3654,0,3654.0
서울특별시,성북구,정릉제2동,21585,5198,0,5198.0
서울특별시,성북구,정릉제3동,13714,3366,0,3366.0
서울특별시,성북구,정릉제4동,23520,5727,0,5727.0
서울특별시,성북구,길음제1동,35458,5385,0,5385.0
서울특별시,성북구,길음제2동,21331,3495,0,3495.0
서울특별시,성북구,종암동,36744,7982,10,725.6363636363636
서울특별시,성북구,월곡제1동,24588,5584,0,5584.0
서울특별시,성북구,월곡제2동,18335,4185,0,4185.0
서울특별시,성북구,장위제1동,22713,4866,0,4866.0
서울특별시,성북구,장위제2동,15625,3778,0,3778.0
서울특별시,성북구,장위제3동,18650,3043,0,3043.0
서울특별시,성북구,석관동,32727,8401,9,840.1
서울특별시,강북구,,278750,74483,0,74483.0
서울특별시,강북구,삼양동,24456,6096,0,6096.0
서울특별시,강북구,미아동,20161,5335,25,205.19230769230768
서울특별시,강북구,송중동,27368,6948,0,6948.0
서울특별시,강북구,송천동,22153,6522,0,6522.0
서울특별시,강북구,삼각산동,29922,5466,1,2733.0
서울특별시,강북구,번1동,16009,3825,1,1912.5
서울특별시,강북구,번2동,14290,4605,0,4605.0
서울특별시,강북구,번3동,15525,5215,0,5215.0
서울특별시,강북구,수유1동,19262,5234,0,5234.0
서울특별시,강북구,수유2동,19914,5872,0,5872.0
서울특별시,강북구,수유3동,22371,5537,0,5537.0
서울특별시,강북구,우이동,19300,5662,1,2831.0
서울특별시,강북구,인수동,28019,8166,0,8166.0
서울특별시,도봉구,,299545,78667,0,78667.0
서울특별시,도봉구,창제1동,23297,5610,0,5610.0
서울특별시,도봉구,창제2동,27503,6618,0,6618.0
서울특별시,도봉구,창제3동,12714,3456,0,3456.0
서울특별시,도봉구,창제4동,25897,5430,0,5430.0
서울특별시,도봉구,창제5동,23279,5468,0,5468.0
서울특별시,도봉구,도봉제1동,19431,6737,0,6737.0
서울특별시,도봉구,도봉제2동,25507,7824,0,7824.0
서울특별시,도봉구,쌍문제1동,20448,5555,0,5555.0
서울특별시,도봉구,쌍문제2동,17319,4724,0,4724.0
서울특별시,도봉구,쌍문제3동,15915,4104,0,4104.0
서울특별시,도봉구,쌍문제4동,17631,4096,0,4096.0
서울특별시,도봉구,방학제1동,27626,7206,0,7206.0
서울특별시,도봉구,방학제2동,17610,5310,0,5310.0
서울특별시,도봉구,방학제3동,25368,6529,0,6529.0
서울특별시,노원구,,482461,105180,0,105180.0
서울특별시,노원구,월계1동,20058,4715,0,4715.0
서울특별시,노원구,월계2동,24759,6863,0,6863.0
서울특별시,노원구,월계3동,27780,7117,0,7117.0
서울특별시,노원구,공릉1동,35125,7919,0,7919.0
서울특별시,노원구,공릉2동,40594,6918,0,6918.0
서울특별시,노원구,하계1동,25132,5439,0,5439.0
서울특별시,노원구,하계2동,19547,3520,0,3520.0
서울특별시,노원구,중계본동,22232,2905,0,2905.0
서울특별시,노원구,중계1동,25905,3109,0,3109.0
서울특별시,노원구,중계4동,18594,4571,0,4571.0
서울특별시,노원구,중계2.3동,31414,8548,0,8548.0
서울특별시,노원구,상계1동,35932,9066,0,9066.0
서울특별시,노원구,상계2동,18547,4253,0,4253.0
서울특별시,노원구,상계3.4동,26558,7220,0,7220.0
서울특별시,노원구,상계5동,22099,6034,0,6034.0
서울특별시,노원구,상계6.7동,30291,5887,0,5887.0
서울특별시,노원구,상계8동,21239,3510,0,3510.0
서울특별시,노원구,상계9동,18945,4248,0,4248.0
서울특별시,노원구,상계10동,17710,3338,0,3338.0
서울특별시,은평구,,454860,102800,0,102800.0
서울특별시,은평구,녹번동,35126,8441,3,2110.25
서울특별시,은평구,불광제1동,34153,8357,0,8357.0
서울특별시,은평구,불광제2동,26198,7145,0,7145.0
서울특별시,은평구,갈현제1동,13992,3480,0,3480.0
서울특별시,은평구,갈현제2동,26737,6129,0,6129.0
서울특별시,은평구,구산동,30618,7366,2,2455.3333333333335
서울특별시,은평구,대조동,26990,5969,3,1492.25
서울특별시,은평구,응암제1동,31976,6246,0,6246.0
서울특별시,은평구,응암제2동,26767,4648,0,4648.0
서울특별시,은평구,응암제3동,22870,6463,0,6463.0
서울특별시,은평구,역촌동,44436,10413,6,1487.5714285714287
서울특별시,은평구,신사제1동,25694,6187,0,6187.0
서울특별시,은평구,신사제2동,19138,4604,0,4604.0
서울특별시,은평구,증산동,15242,3376,1,1688.0
서울특별시,은평구,수색동,21116,3687,2,1229.0
서울특별시,은평구,진관동,53807,10289,4,2057.8
서울특별시,서대문구,,299942,62264,0,62264.0
서울특별시,서대문구,천연동,16302,3632,0,3632.0
서울특별시,서대문구,북아현동,15108,2543,4,508.6
서울특별시,서대문구,충현동,19194,3867,0,3867.0
서울특별시,서대문구,신촌동,20200,2264,2,754.6666666666666
서울특별시,서대문구,연희동,33047,6552,5,1092.0
서울특별시,서대문구,홍제제1동,24312,5531,0,5531.0
서울특별시,서대문구,홍제제3동,17247,4347,0,4347.0
서울특별시,서대문구,홍제제2동,11939,2903,0,2903.0
서울특별시,서대문구,홍은제1동,23266,5530,0,5530.0
서울특별시,서대문구,홍은제2동,27189,6024,0,6024.0
서울특별시,서대문구,남가좌제1동,16928,2618,0,2618.0
서울특별시,서대문구,남가좌제2동,28403,5537,0,5537.0
서울특별시,서대문구,북가좌제1동,17199,3477,0,3477.0
서울특별시,서대문구,북가좌제2동,29608,7439,0,7439.0
서울특별시,마포구,,357232,61962,0,61962.0
서울특별시,마포구,아현동,28956,4087,9,408.7
서울특별시,마포구,공덕동,35875,6767,11,563.9166666666666
서울특별시,마포구,도화동,20225,4141,16,243.58823529411765
서울특별시,마포구,용강동,21083,3362,1,1681.0
서울특별시,마포구,대흥동,14212,2102,8,233.55555555555554
서울특별시,마포구,염리동,16780,2321,7,290.125
서울특별시,마포구,신수동,21905,3784,1,1892.0
서울특별시,마포구,서강동,24250,3847,0,3847.0
서울특별시,마포구,서교동,23477,3579,11,298.25
서울특별시,마포구,합정동,15602,2833,1,1416.5
서울특별시,마포구,망원제1동,18426,3761,0,3761.0
서울특별시,마포구,망원제2동,17204,3470,0,3470.0
서울특별시,마포구,연남동,13762,2564,5,427.3333333333333
서울특별시,마포구,성산제1동,18301,3367,0,3367.0
서울특별시,마포구,성산제2동,38075,7091,0,7091.0
서울특별시,마포구,상암동,29099,4886,10,444.1818181818182
서울특별시,양천구,,424606,84784,0,84784.0
서울특별시,양천구,목1동,29950,4017,0,4017.0
서울특별시,양천구,목2동,27823,5210,0,5210.0
서울특별시,양천구,목3동,20668,4353,0,4353.0
서울특별시,양천구,목4동,23594,3955,0,3955.0
서울특별시,양천구,목5동,40383,5858,0,5858.0
서울특별시,양천구,신월1동,18480,5208,0,5208.0
서울특별시,양천구,신월2동,20417,4941,0,4941.0
서울특별시,양천구,신월3동,13598,3666,0,3666.0
서울특별시,양천구,신월4동,16684,4062,0,4062.0
서울특별시,양천구,신월5동,13663,3060,0,3060.0
서울특별시,양천구,신월6동,13677,2406,0,2406.0
서울특별시,양천구,신월7동,17894,5119,0,5119.0
서울특별시,양천구,신정1동,19488,3242,0,3242.0
서울특별시,양천구,신정2동,18443,3219,0,3219.0
서울특별시,양천구,신정3동,47234,9534,0,9534.0
서울특별시,양천구,신정4동,31021,7166,0,7166.0
서울특별시,양천구,신정6동,23875,3634,0,3634.0
서울특별시,양천구,신정7동,27714,6134,0,6134.0
서울특별시,강서구,,549536,113717,0,113717.0
서울특별시,강서구,염창동,41066,5656,7,707.0
