시도,시군구,읍면동,총인구수,노인인구수,구별_노인인구수,구별_치과수,구별_지표,최종_유망_지수
서울특별시,종로구,청운효자동,10835,2288,30841.0,143.0,215.67132867132867,493456.0
서울특별시,종로구,사직동,8908,1981,30841.0,143.0,215.67132867132867,427244.9020979021
서울특별시,종로구,삼청동,2114,613,30841.0,143.0,215.67132867132867,132206.52447552446
서울특별시,종로구,부암동,8926,2052,30841.0,143.0,215.67132867132867,442557.56643356645
서울특별시,종로구,평창동,17010,4049,30841.0,143.0,215.67132867132867,873253.2097902098
서울특별시,종로구,무악동,7658,1611,30841.0,143.0,215.67132867132867,347446.5104895105
서울특별시,종로구,교남동,9430,1798,30841.0,143.0,215.67132867132867,387777.0489510489
서울특별시,종로구,가회동,3616,907,30841.0,143.0,215.67132867132867,195613.8951048951
서울특별시,종로구,종로1.2.3.4가동,6637,1869,30841.0,143.0,215.67132867132867,403089.7132867133
서울특별시,종로구,종로5.6가동,5431,1133,30841.0,143.0,215.67132867132867,244355.61538461538
서울특별시,종로구,이화동,7042,1493,30841.0,143.0,215.67132867132867,321997.2937062937
서울특별시,종로구,혜화동,15572,2840,30841.0,143.0,215.67132867132867,612506.5734265734
서울특별시,종로구,창신제1동,4414,1367,30841.0,143.0,215.67132867132867,294822.70629370626
서울특별시,종로구,창신제2동,7158,2044,30841.0,143.0,215.67132867132867,440832.19580419577
서울특별시,종로구,창신제3동,6111,1492,30841.0,143.0,215.67132867132867,321781.62237762235
서울특별시,종로구,숭인제1동,5698,1398,30841.0,143.0,215.67132867132867,301508.51748251746
서울특별시,종로구,숭인제2동,10238,1906,30841.0,143.0,215.67132867132867,411069.55244755244
서울특별시,중구,소공동,2181,293,27266.0,185.0,147.38378378378377,43183.44864864864
서울특별시,중구,회현동,4072,1326,27266.0,185.0,147.38378378378377,195430.89729729728
서울특별시,중구,명동,2455,742,27266.0,185.0,147.38378378378377,109358.76756756756
서울특별시,중구,필동,4307,971,27266.0,185.0,147.38378378378377,143109.65405405403
서울특별시,중구,장충동,4525,958,27266.0,185.0,147.38378378378377,141193.66486486484
서울특별시,중구,광희동,5723,1248,27266.0,185.0,147.38378378378377,183934.96216216215
서울특별시,중구,을지로동,3029,511,27266.0,185.0,147.38378378378377,75313.11351351351
서울특별시,중구,신당동,7399,1730,27266.0,185.0,147.38378378378377,254973.94594594592
서울특별시,중구,다산동,12984,3211,27266.0,185.0,147.38378378378377,473249.3297297297
서울특별시,중구,약수동,15729,4391,27266.0,185.0,147.38378378378377,647162.1945945945
서울특별시,중구,청구동,10700,2704,27266.0,185.0,147.38378378378377,398525.7513513513
서울특별시,중구,신당제5동,9930,2132,27266.0,185.0,147.38378378378377,314222.227027027
서울특별시,중구,동화동,9723,2362,27266.0,185.0,147.38378378378377,348120.4972972973
서울특별시,중구,황학동,13121,2370,27266.0,185.0,147.38378378378377,349299.5675675675
서울특별시,중구,중림동,11840,2317,27266.0,185.0,147.38378378378377,341488.227027027
서울특별시,용산구,후암동,15652,3317,40009.0,96.0,416.7604166666667,1382394.3020833335
서울특별시,용산구,용산2가동,8483,2140,40009.0,96.0,416.7604166666667,891867.2916666667
서울특별시,용산구,남영동,6997,1683,40009.0,96.0,416.7604166666667,701407.78125
서울특별시,용산구,청파동,18597,3606,40009.0,96.0,416.7604166666667,1502838.0625
서울특별시,용산구,원효로제1동,17065,2251,40009.0,96.0,416.7604166666667,938127.6979166667
서울특별시,용산구,원효로제2동,13396,2607,40009.0,96.0,416.7604166666667,1086494.40625
서울특별시,용산구,효창동,10406,1731,40009.0,96.0,416.7604166666667,721412.28125
서울특별시,용산구,용문동,11045,2436,40009.0,96.0,416.7604166666667,1015228.375
서울특별시,용산구,한강로동,20864,3490,40009.0,96.0,416.7604166666667,1454493.8541666667
서울특별시,용산구,이촌제1동,24872,4721,40009.0,96.0,416.7604166666667,1967525.9270833335
서울특별시,용산구,이촌제2동,7735,1922,40009.0,96.0,416.7604166666667,801013.5208333334
서울특별시,용산구,이태원제1동,5865,1459,40009.0,96.0,416.7604166666667,608053.4479166667
서울특별시,용산구,이태원제2동,8365,1822,40009.0,96.0,416.7604166666667,759337.4791666667
서울특별시,용산구,한남동,13716,2737,40009.0,96.0,416.7604166666667,1140673.2604166667
서울특별시,용산구,서빙고동,12119,2388,40009.0,96.0,416.7604166666667,995223.875
서울특별시,용산구,보광동,6569,1699,40009.0,96.0,416.7604166666667,708075.9479166667
서울특별시,성동구,왕십리제2동,15713,2968,53513.0,124.0,431.5564516129032,1280859.5483870967
서울특별시,성동구,왕십리도선동,25538,4509,53513.0,124.0,431.5564516129032,1945888.0403225804
서울특별시,성동구,마장동,21407,4514,53513.0,124.0,431.5564516129032,1948045.8225806449
서울특별시,성동구,사근동,11880,1653,53513.0,124.0,431.5564516129032,713362.814516129
서울특별시,성동구,행당제1동,15550,2679,53513.0,124.0,431.5564516129032,1156139.7338709675
서울특별시,성동구,행당제2동,22329,4462,53513.0,124.0,431.5564516129032,1925604.887096774
서울특별시,성동구,응봉동,14409,2687,53513.0,124.0,431.5564516129032,1159592.1854838708
서울특별시,성동구,금호1가동,14281,3085,53513.0,124.0,431.5564516129032,1331351.6532258063
서울특별시,성동구,금호2.3가동,20527,4231,53513.0,124.0,431.5564516129032,1825915.3467741932
서울특별시,성동구,금호4가동,13855,2876,53513.0,124.0,431.5564516129032,1241156.3548387096
서울특별시,성동구,옥수동,25146,4821,53513.0,124.0,431.5564516129032,2080533.6532258063
서울특별시,성동구,성수1가제1동,14886,2751,53513.0,124.0,431.5564516129032,1187211.7983870967
서울특별시,성동구,성수1가제2동,13912,2502,53513.0,124.0,431.5564516129032,1079754.2419354836
서울특별시,성동구,성수2가제1동,13664,3268,53513.0,124.0,431.5564516129032,1410326.4838709675
서울특별시,성동구,성수2가제3동,9466,2015,53513.0,124.0,431.5564516129032,869586.2499999999
서울특별시,성동구,송정동,9097,2032,53513.0,124.0,431.5564516129032,876922.7096774193
서울특별시,성동구,용답동,13035,2460,53513.0,124.0,431.5564516129032,1061628.8709677418
서울특별시,광진구,화양동,22724,2516,62627.0,154.0,406.6688311688312,1023178.7792207793
서울특별시,광진구,군자동,18417,3557,62627.0,154.0,406.6688311688312,1446521.0324675327
서울특별시,광진구,중곡제1동,14856,2998,62627.0,154.0,406.6688311688312,1219193.155844156
서울특별시,광진구,중곡제2동,19753,4079,62627.0,154.0,406.6688311688312,1658802.1623376627
서울특별시,광진구,중곡제3동,15155,3508,62627.0,154.0,406.6688311688312,1426594.25974026
서울특별시,광진구,중곡제4동,26776,6493,62627.0,154.0,406.6688311688312,2640500.720779221
서울특별시,광진구,능동,10788,1894,62627.0,154.0,406.6688311688312,770230.7662337663
서울특별시,광진구,광장동,32947,4578,62627.0,154.0,406.6688311688312,1861729.9090909094
서울특별시,광진구,자양제1동,21493,4190,62627.0,154.0,406.6688311688312,1703942.402597403
서울특별시,광진구,자양제2동,26398,4945,62627.0,154.0,406.6688311688312,2010977.3701298705
서울특별시,광진구,자양제3동,26640,5191,62627.0,154.0,406.6688311688312,2111017.9025974027
서울특별시,광진구,자양제4동,19842,4466,62627.0,154.0,406.6688311688312,1816183.0000000002
서울특별시,광진구,구의제1동,22821,3877,62627.0,154.0,406.6688311688312,1576655.0584415586
서울특별시,광진구,구의제2동,24806,5282,62627.0,154.0,406.6688311688312,2148024.7662337665
서울특별시,광진구,구의제3동,27517,5053,62627.0,154.0,406.6688311688312,2054897.603896104
서울특별시,동대문구,신설동,16353,2613,72976.0,168.0,434.3809523809524,1135037.4285714286
서울특별시,동대문구,용두동,22602,4697,72976.0,168.0,434.3809523809524,2040287.3333333335
서울특별시,동대문구,제기동,22202,5849,72976.0,168.0,434.3809523809524,2540694.1904761908
서울특별시,동대문구,전농제1동,32172,6672,72976.0,168.0,434.3809523809524,2898189.7142857146
서울특별시,동대문구,전농제2동,17311,4254,72976.0,168.0,434.3809523809524,1847856.5714285716
서울특별시,동대문구,답십리제1동,27203,4772,72976.0,168.0,434.3809523809524,2072865.9047619049
서울특별시,동대문구,답십리제2동,27294,6561,72976.0,168.0,434.3809523809524,2849973.4285714286
서울특별시,동대문구,장안제1동,37031,8010,72976.0,168.0,434.3809523809524,3479391.4285714286
서울특별시,동대문구,장안제2동,32776,6391,72976.0,168.0,434.3809523809524,2776128.666666667
서울특별시,동대문구,청량리동,17925,6090,72976.0,168.0,434.3809523809524,2645380.0
서울특별시,동대문구,회기동,10080,1601,72976.0,168.0,434.3809523809524,695443.9047619049
