시도,시군구,읍면동,총인구수,노인인구수,구별_노인인구수,구별_치과수,구별_지표,최종_유망_지수,경제력_지수,노인인구_점수,공급부족_점수,경제력_점수,Total_Score
경기도,고양시,덕양구,485174,93751,198761.0,345.0,576.1188405797102,54011717.42318841,0.0,10.0,2.281846616864621,1.0,22.81846616864621
서울특별시,강남구,압구정동,25503,5575,95827.0,525.0,182.52761904761903,1017591.476190476,18096.8060184772,1.5351942912608934,1.4061183118488434,10.0,21.58664805187749
서울특별시,송파구,잠실3동,33501,6743,119821.0,322.0,372.1149068322981,2509170.816770186,12038.593238624208,1.6473210952416508,1.8279441684773012,6.987097338447076,21.03962429133233
경상북도,포항시,북구,273814,64052,117657.0,162.0,726.2777777777778,46519544.222222224,0.0,7.148926411451612,2.6159456118665023,1.0,18.701202675593386
서울특별시,송파구,잠실2동,34488,4307,119821.0,322.0,372.1149068322981,1602698.903726708,12038.593238624208,1.4134675896790434,1.8279441684773012,6.987097338447076,18.052841744529278
서울특별시,서초구,반포1동,33186,4494,72511.0,312.0,232.40705128205127,1044437.2884615384,14526.060913546984,1.431419398193086,1.5170985071788534,8.224178017294337,17.859659788275057
서울특별시,송파구,잠실4동,24560,3934,119821.0,322.0,372.1149068322981,1463900.0434782607,12038.593238624208,1.3776599716269693,1.8279441684773012,6.987097338447076,17.59550599331518
경기도,부천시,원미구,384011,74773,156250.0,308.0,507.3051948051948,37932731.33116883,0.0,8.178131433264712,2.128738381519593,1.0,17.409102271102434
경기도,용인시,기흥구,434484,74408,187079.0,370.0,505.6189189189189,37622092.51891892,0.0,8.143091807020724,2.124986469782514,1.0,17.303959912115882
서울특별시,서초구,반포2동,26467,3941,72511.0,312.0,232.40705128205127,915916.189102564,14526.060913546984,1.3783319644590457,1.5170985071788534,8.224178017294337,17.197293813132205
서울특별시,서초구,잠원동,34959,5145,72511.0,312.0,232.40705128205127,1195734.2788461538,13013.600709101167,1.4939147315761965,1.5170985071788534,7.471993249102974,16.934643625455294
서울특별시,송파구,잠실6동,16228,3368,119821.0,322.0,372.1149068322981,1253283.00621118,12038.593238624208,1.323324551204787,1.8279441684773012,6.987097338447076,16.901532708631052
서울특별시,서초구,반포3동,23646,3613,72511.0,312.0,232.40705128205127,839686.6762820513,14526.060913546984,1.3468443003274633,1.5170985071788534,8.224178017294337,16.804425748309683
서울특별시,서초구,반포4동,18274,3348,72511.0,312.0,232.40705128205127,778098.8076923076,14526.060913546984,1.3214045716845688,1.5170985071788534,8.224178017294337,16.487017098376857
서울특별시,강남구,개포2동,41807,6059,95827.0,525.0,182.52761904761903,1105934.8438095236,12639.974518596715,1.5816577956501798,1.4061183118488434,7.286179481131612,16.204448517480287
경상북도,포항시,남구,214869,53605,117657.0,162.0,726.2777777777778,38932120.27777778,0.0,6.146025109065503,2.6159456118665023,1.0,16.077667414481244
서울특별시,송파구,잠실7동,9321,2443,119821.0,322.0,372.1149068322981,909076.7173913044,12038.593238624208,1.2345254983946838,1.8279441684773012,6.987097338447076,15.767389089668486
경기도,성남시,분당구,469871,78232,171912.0,460.0,373.7217391304348,29236999.09565217,0.0,8.510191891286492,1.8315193206857634,1.0,15.58658087163453
서울특별시,용산구,이촌제1동,24872,4721,40009.0,96.0,416.7604166666667,1967525.9270833333,9159.272613267462,1.4532111657475655,1.9272790482076638,5.555138262256939,15.558517003905184
서울특별시,강남구,대치2동,38415,6130,95827.0,525.0,182.52761904761903,1118894.3047619043,11831.065850744752,1.5884737229469552,1.4061183118488434,6.883888712073555,15.375729846568493
서울특별시,용산구,보광동,6569,1699,40009.0,96.0,416.7604166666667,708075.9479166667,11693.603336022958,1.1631022602425574,1.9272790482076638,6.815525121767454,15.277835260288496
전북특별자치도,전주시,완산구,315800,67903,124283.0,285.0,436.080701754386,29611187.891228072,0.0,7.518618468069675,1.9702660854856549,1.0,14.81367897734379
서울특별시,양천구,신정3동,47234,9534,84784.0,192.0,441.5833333333333,4210055.5,5787.7230821883195,1.9152542372881356,1.9825092707045735,3.8783812837751834,14.726249730448966
서울특별시,강남구,개포1동,26612,4506,95827.0,525.0,182.52761904761903,822469.4514285714,12639.974518596715,1.432571385905217,1.4061183118488434,7.286179481131612,14.677023901351411
