시도,시군구,구별_노인인구수,구별_치과수,구별_지표
전라남도,신안군,16180,4,4045.0
대구광역시,군위군,11056,3,3685.3333333333335
인천광역시,옹진군,7100,2,3550.0
경상북도,봉화군,12892,4,3223.0
충청북도,괴산군,16043,5,3208.6
경상북도,울릉군,2809,1,2809.0
경상북도,의성군,23646,9,2627.3333333333335
강원특별자치도,정선군,12623,5,2524.6
세종특별자치시,연서면,2498,1,2498.0
전라남도,구례군,9886,4,2471.5
경상남도,산청군,14737,6,2456.1666666666665
경상북도,영양군,6887,3,2295.6666666666665
세종특별자치시,다정동,2183,1,2183.0
전라남도,고흥군,28162,13,2166.3076923076924
전라남도,장성군,15100,7,2157.1428571428573
경상북도,청송군,10595,5,2119.0
전북특별자치도,진안군,10183,5,2036.6
강원특별자치도,양양군,10076,5,2015.2
강원특별자치도,횡성군,17940,9,1993.3333333333333
강원특별자치도,영월군,13794,7,1970.5714285714287
세종특별자치시,새롬동,1947,1,1947.0
인천광역시,강화군,28512,15,1900.8
전라남도,곡성군,11303,6,1883.8333333333333
충청북도,보은군,13059,7,1865.5714285714287
경상남도,합천군,18609,10,1860.9
전라남도,진도군,11092,6,1848.6666666666667
전라남도,보성군,16605,9,1845.0
세종특별자치시,장군면,1838,1,1838.0
경상남도,의령군,10981,6,1830.1666666666667
전북특별자치도,무주군,9087,5,1817.4
충청남도,청양군,12649,7,1807.0
경상남도,남해군,17816,10,1781.6
충청북도,영동군,17298,10,1729.8
전라남도,장흥군,13828,8,1728.5
전북특별자치도,고창군,20665,12,1722.0833333333333
전북특별자치도,장수군,8581,5,1716.2
충청남도,금산군,18785,11,1707.7272727272727
경상남도,창녕군,22133,13,1702.5384615384614
경상북도,청도군,18713,11,1701.1818181818182
경상북도,예천군,18639,11,1694.4545454545455
경상남도,고성군,18575,11,1688.6363636363637
경상북도,성주군,16840,10,1684.0
강원특별자치도,삼척시,19539,12,1628.25
전라남도,강진군,12980,8,1622.5
충청남도,서천군,20759,13,1596.8461538461538
강원특별자치도,고성군,9534,6,1589.0
경상남도,하동군,17445,11,1585.909090909091
전라남도,함평군,12584,8,1573.0
전북특별자치도,임실군,11004,7,1572.0
충청남도,태안군,23493,15,1566.2
충청북도,단양군,10947,7,1563.857142857143
전북특별자치도,김제시,29615,19,1558.6842105263158
전북특별자치도,순창군,10661,7,1523.0
전라남도,해남군,24342,16,1521.375
경상남도,밀양시,36364,24,1515.1666666666667
경상북도,상주시,34726,23,1509.8260869565217
경상북도,고령군,11900,8,1487.5
경상북도,영천시,34074,23,1481.4782608695652
강원특별자치도,홍천군,23679,16,1479.9375
경상북도,영덕군,14746,10,1474.6
경상남도,함양군,14658,10,1465.8
전북특별자치도,완주군,26951,19,1418.4736842105262
충청남도,부여군,25251,18,1402.8333333333333
전라남도,담양군,16602,12,1383.5
경기도,양평군,42091,31,1357.774193548387
전라남도,완도군,17439,13,1341.4615384615386
강원특별자치도,철원군,11976,9,1330.6666666666667
충청북도,옥천군,18342,14,1310.142857142857
경상북도,울진군,15511,12,1292.5833333333333
전북특별자치도,남원시,25717,20,1285.85
부산광역시,영도구,35736,28,1276.2857142857142
강원특별자치도,평창군,14970,12,1247.5
충청남도,예산군,28685,23,1247.1739130434783
전라남도,영암군,16175,13,1244.2307692307693
전라남도,여수시,67162,54,1243.7407407407406
충청남도,보령시,30757,25,1230.28
충청남도,공주시,33208,27,1229.9259259259259
강원특별자치도,태백시,12172,10,1217.2
경상남도,함안군,19392,16,1212.0
전북특별자치도,부안군,18937,16,1183.5625
경상북도,경주시,70742,60,1179.0333333333333
강원특별자치도,양구군,5743,5,1148.6
전라남도,화순군,19484,17,1146.1176470588234
경상북도,김천시,38910,34,1144.4117647058824
경기도,연천군,14364,13,1104.923076923077
경상남도,거창군,19853,18,1102.9444444444443
세종특별자치시,해밀동,1095,1,1095.0
경상북도,영주시,32580,30,1086.0
충청남도,논산시,35941,34,1057.0882352941176
강원특별자치도,인제군,8428,8,1053.5
경상북도,안동시,45683,44,1038.25
경상북도,문경시,24835,24,1034.7916666666667
충청남도,당진시,39028,39,1000.7179487179487
