시도,시군구,읍면동,총인구수,노인인구수
서울특별시,,,9299701,1909993
서울특별시,종로구,,136798,30841
서울특별시,종로구,청운효자동,10835,2288
서울특별시,종로구,사직동,8908,1981
서울특별시,종로구,삼청동,2114,613
서울특별시,종로구,부암동,8926,2052
서울특별시,종로구,평창동,17010,4049
서울특별시,종로구,무악동,7658,1611
서울특별시,종로구,교남동,9430,1798
서울특별시,종로구,가회동,3616,907
서울특별시,종로구,종로1.2.3.4가동,6637,1869
서울특별시,종로구,종로5.6가동,5431,1133
서울특별시,종로구,이화동,7042,1493
서울특별시,종로구,혜화동,15572,2840
서울특별시,종로구,창신제1동,4414,1367
서울특별시,종로구,창신제2동,7158,2044
서울특별시,종로구,창신제3동,6111,1492
서울특별시,종로구,숭인제1동,5698,1398
서울특별시,종로구,숭인제2동,10238,1906
서울특별시,중구,,117718,27266
서울특별시,중구,소공동,2181,293
서울특별시,중구,회현동,4072,1326
서울특별시,중구,명동,2455,742
서울특별시,중구,필동,4307,971
서울특별시,중구,장충동,4525,958
서울특별시,중구,광희동,5723,1248
서울특별시,중구,을지로동,3029,511
서울특별시,중구,신당동,7399,1730
서울특별시,중구,다산동,12984,3211
서울특별시,중구,약수동,15729,4391
서울특별시,중구,청구동,10700,2704
서울특별시,중구,신당제5동,9930,2132
서울특별시,중구,동화동,9723,2362
서울특별시,중구,황학동,13121,2370
서울특별시,중구,중림동,11840,2317
서울특별시,용산구,,201746,40009
서울특별시,용산구,후암동,15652,3317
서울특별시,용산구,용산2가동,8483,2140
서울특별시,용산구,남영동,6997,1683
서울특별시,용산구,청파동,18597,3606
서울특별시,용산구,원효로제1동,17065,2251
서울특별시,용산구,원효로제2동,13396,2607
서울특별시,용산구,효창동,10406,1731
서울특별시,용산구,용문동,11045,2436
서울특별시,용산구,한강로동,20864,3490
서울특별시,용산구,이촌제1동,24872,4721
서울특별시,용산구,이촌제2동,7735,1922
서울특별시,용산구,이태원제1동,5865,1459
서울특별시,용산구,이태원제2동,8365,1822
서울특별시,용산구,한남동,13716,2737
서울특별시,용산구,서빙고동,12119,2388
서울특별시,용산구,보광동,6569,1699
서울특별시,성동구,,274695,53513
서울특별시,성동구,왕십리제2동,15713,2968
서울특별시,성동구,왕십리도선동,25538,4509
서울특별시,성동구,마장동,21407,4514
